Code	Name	Address	Tel No	Fax No	Email	Contact Person	Created By	Date Created                                                                                                                                                                                                                                                                                                                                                                                                                                                    
003-CTC	CABLEFLEX TWINGEAR CORP	rm 206 dona lolita bldg 363 rizal ave ext grace park caloocan city - 361-4498	3664296/3665276	361-4498	twingearcableflex@yahoo.co.uk	RV DE GUZMAN/EDU	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                           
001-AQU	AQUA Q REFILLING STATION	52-58 honorio lopez blvd tondo manila	253-6082	253-6083		BOY/SIMLICIO K TAN	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                    
007-GIL	GIL SAGRADO	131 gen luna st cor camus st malabon city	2811438			BOY SAGRADO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                             
004-DAI	DAIDEN ENTERPRISES (GENSAN)	P. Acharon Blvd., cor. Saging St. General Santos City	083-554-4198 / 083-301-4870			SONNY BALINGBING	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                        
016-PNK	PHIL NIPPON KYOEI CORP	suite 705 royal plaza twin tower 648 remedios st malate manila	400-5778,302-1655	4009130	www.philnippon.com.ph	JONATHAN CARVO,MA'AM BELL,BART	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                    
010-JIL	JIMMY LAURE	navotas m m					TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
007-GER	GERALD QUIROZ	PHS III F-1 Blk. 49-C Lot 7 Kaunlaran Village, Malabon City	(632) 351-20-55 / (63) 0906-272-2309		Gerald_quiroz2000@yahoo.com	GERALD QUIROZ	JMEJOS	15-NOV-2008                                                                                                                                                                                                                                                                                                                                            
002-BUE	BUENAS SUERTE TRADING (GENSAN)	General Santos City	552-4469 / 553-1081	552-4469		ANDREW BALANA	JMEJOS	05-DEC-2008                                                                                                                                                                                                                                                                                                                                                                                                       
009-IST	ISOTOPE TRADING	2741 Lamayan St., Sta. Ana, Manila	564-7918	563-1574		NESTOR G. TORRES-359-1749	JMEJOS	05-DEC-2008                                                                                                                                                                                                                                                                                                                                                                                                      
ZUN	ZUNIBAL S.L.	SPAIN	+34 944 9770 10	+34 944 52 28 14	horiguchimitsuo@yahoo.co.jp; zunibal@zunibal.com	MITSUO HORIGUCHI/RAUL PARRA	RENE	05-DEC-2008                                                                                                                                                                                                                                                                                                                                                                           
005-ESC	ESCO ENERGY SUPPLY CORPORATION	646 Lee St., Barangay Addition Hills, Mandaluyong City - 8561622	(02) 810 - 9051	(02) 810 - 0645	campos@info.com.ph	JAIME P. L. CAMPOS	JMEJOS	18-NOV-2008                                                                                                                                                                                                                                                                                                                                
003-CRN	CASH RAON	manila				ROMMEL LAGRADA	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
003-CEN	CENTER INDUSTRIAL SUPPLY CORP	10 South AA St., Brgy Paligsan  Quezon City Phil	3739651/3733680	3734211		ROMMEL SALAZAR / ANALYN / BARBIE (SERVICE)	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                      
003-CIT	CITI HARDWARE (GENSAN)	gen santos city	5547450/5547451				TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                               
003-CEA	CLEAN CITY COMMERCIAL INC	1851 maria y orosa st malate manila	5245290	5244380		JERMYN TANG / KAYE / LANI / APRIL	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                        
005-EXC	EXCELLENCE TECHNOLOGIES INC	24 TUAZON COR L CASTILLO ST QC	7327370	7327375		MARLON/JEAN/BETH/ANGELA	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                     
006-FAB	FABCOM CHEMICAL	ortigas pasig city	6334234	6334236		EVELENE	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                             
006-FRT	FAIRTECH (FAIRE TECHNOLOGIES INC)	49 e fernandez s san juan metro manila	723-76-42 / 723-79-59	724-58-98		NORVIN CO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                     
004-DIK	VIRGILIO A. CUPCUPIN	6 kaunlaran village longos malabon m m	2875078/3510426/09174248871/2875471	448-1525	mydibaet@yahoo.com	VIRGILIO A. CUPCUPIN-CEL.#0917-4248871	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                      
007-GDI	GONZAGA DAUSON INC	#9magsaysay ave general santos city	0835522382	0835522382		GEORGE GONZAGA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                            
007-GUA	GUAN INDUSTRIAL SALES	#860 tomas mapua st sta cruz manila	7411758/7427241	3098238		GEORGE CHAN/MERCY	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                    
002-BRT	BARRETTO LUMBER	976-978 m naval st san jose navotas	2828925	2828926		THESS BARRETTO	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
002-BCH	BCH HARDWARE	gandara manila	733-1376	733-1366		JOHNNY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                   
019-SEV	SEVERO SY LING INC (HARDWARE & MILL SUPPLIES)	711 gandara st manila/main office 38 first st new manila - 242-9877	242-9874 / 242-9884 / 721-7140 / 242-9466	242-9877		PHILIP SY,MYRA-242-9877	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                           
019-SIL	SILICON VALLEY COMPUTER	ccp 157 b sm city north edsa pag asa quezon city				MARLENE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
015-OAS	OVERSEA AUTO SUPPLY INC	rizal ave ext caloocan city	3649810/3619476				TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                  
016-PTC	PACIFIC TOMICH CORP	1094 a north bay blvd navotas m m	2813848	2832536		, NINA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                           
016-PBL	PBL PRINTING	6 a leongson navotas m m	2820802/2829805			LUCY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                            
018-RMM	RM MASANGKAY ENTERPRISES	279 barihan malolos bulacan	7912969			FREDDIE SANTOS	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                           
018-RAF	RAFOLS MACHINE SHOP & ENGINEERING SERV(GENSAN)	national highway general santos city	025527874				TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                        
018-RER	RAVAGO EQUIPMENT RENTALS INC	64 north bay blvd navotas m m	2875190 / 91 / 92 / 93 to 94	2878914		RUSSEL/HENRY / EULA/JANICE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                             
018-RCS	RCS FISHING SUPPLY	916 m naval st san jose navotas	2833615	none		RAMON SABLAN(09192186425)	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                              
010-JEW	JEWELS NAVOTAS TRADING & STAINLESS METAL	495 north bay blvd navotas m m	2817620/351-1688/351-5801				TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                    
010-JOL	JOLLY INDUSTRIAL GAS CENTER (JIGC)	123 c 2 tayuman ext magsaysay vill tondo amnila	251-1091 / 251-4987	251-4987		BRENDA,THELMA,JASMINE	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                  
010-JSL	JSL ELECTRICAL SUPPLY (FORMERLY UNIT PACONS)	1250 cm recto ave cor benavidez st bdo manila	2448146/2457006	2448130/2457004		TESSIE /WILLIAM	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                             
020-TWL	TEXTWOOD LUMBER & CONSTRUCTION SUPPLY	52-58 lopez blvd balut tondo manila	251-4591	253-6082 / 253-6083		SIMPLICIO /ELAINE/JOPHER	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                        
020-TRO	TROJAN COMPUTER FORMS MANUFACTURING CORPORATION	488 a mabini st manggahan pasig city	 646-9905 to 08	6469912		MR SANIE BALDISIMO,MARIBEL,CORA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                           
025-YUC	YUTIVO CORP	254 dasmarinas st binondo manila	2414601 to 07	2413271		FERDIE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                              
008-HAH	HAP HENG ENGINEERING AND MACHINE SHOP	205 j teodoro st 6th ave grace park caloocan city	3619573/3611095	3611095		RUBEN CHUA AND CHIRON	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                  
013-MVH	M VALERIO HARDWARE & CONST SUPP (GENSAN)	nunez st park malakas san isidro general santos city	5547409			MARFLA G VALERIO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                
013-MAI	MAINCOAT INC	market ave cor mercedes ave bo san miguel pasig city - Fax-6419863 / 6615563	6419951 to 53, khen cel. no. 09228238910;Grace-09228855140	632-6419863;643-5392 (sales),643-6793 (Josie)	09228238910 ; Acctg.:grace.millamena@maincoat.com.ph	KENNEDY PADUA/JOSIE/MARICEL (GENSAN-DELIVERY)	TPJ	07-SEP-2007                                                                                                                                                                                                   
013-MKC	MKC INDUSTRIAL SALES	952 sabino padilla (formerly gandara st)	2441912	2446022		LOURDES CHING	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                            
013-MHC	MORIONES HARDWARE CONSTRUCTION SUPPLY	328 moriones st tondo manila	2448488			GLORIAN C LIMPIO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                           
013-MMI	MULTI MARINE & INDUSTRIES CORP	escolta manila	2436627/2436922	2436545		NELSON	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                           
014-NGC	NGC MACHINE SHOP	415 gen luna st baritan malabon m m	SHOP - 383-1156 / HOME - 922-31-67			ZENAIDA R CRUZ	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                
019-SJV	SAN JOSE VULCANIZING	metro manila					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
019-SAW	SANWA COMMERCIAL CO LTD	unit 5b  5f 8101 pearl plaza pearl drive brgy san antonio ortigas center pasig city	9944237, 5710218 Jessie cel. no. 0927-6542161 (globe)	571-0218    Fiel-0917-8139698,0917-5820422	yashiyu_phils@yahoo.com	FIEL FAUSTINO,JOHN FAUSTINO-09189456620,JESSIE	TPJ	08-SEP-2007                                                                                                                                                                                                                     
019-SEN	SENO METAL ENETERPRISES	359 b jteodoro st caloocan city	3611072/3611075	3619753		CRISTY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
004-DSC	DADIANGAS SACKS CENTER (GENSAN)	Gensan					CONRAD	16-MAY-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HOME	HOME DEPO (BALINTAWAK)	EDSA, Balintawak, Quezon City	DLine-362-3083 & 84,362-3084 to 93			SIR JAKE/VICTOR-SALES	RENE	24-MAY-2011                                                                                                                                                                                                                                                                                                                                                                                           
HARILE	HARILE MARINE SERVICES (GENSAN)	door 1, Blk.4, #49 Dadiangas City Heights, Gen. Santos City	(083) 304-8710		coicojoy@yahoo.com	JOY COICO- 09322187638/09092796845	RENE	24-MAY-2011                                                                                                                                                                                                                                                                                                                                       
010-JEM	JEMMAK AUTO SUPPLY	Navotas City	495-2115				NERRY	31-MAY-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                           
017-QL	QUICKLINE (GENSAN)	Gensan					NERRY	31-MAY-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
006-FLO	FLOR SON (GENSAN)	General Santos City				ARCHIE	NERRY	31-MAY-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                       
018-RB	REY BUSTAMANTE	Gensan City	0912-823-7653			REY	CONRAD	02-JUN-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                        
019-SYA	SYA ENTERPRISES	22 Naval Street, Flores, Malabon City	281-4608,281-4609,281-7104				NERRY	09-JUN-2011                                                                                                                                                                                                                                                                                                                                                                                                                   
MCR	MCR INTERIOR DESIGN & SERVICES	#7 TransAmerican IV 808 E-Rodriguez Sr., Ave	+63908-2889268/0928-6229977/725-3761/359-0180	410-6839	m.dwood@yahoo.com.sg	ROSE DWOOD/MIKE DWOOD	RENE	23-JUN-2011                                                                                                                                                                                                                                                                                                                              
010-JSWA	JS WALLMATRIX MARKETING	195-B ILO Bldg., G. Araneta Avenue, Quezon City	716-8191,414-2424,713-5753,713-5754	716-4172		KEVIN MERCADO/JONATHAN SO -CELL-0917-8334859 (TIN#186-157101000)	NERRY	20-JUL-2011                                                                                                                                                                                                                                                                                                               
003-CASL	CASH (LAE)	Wewak, PNG					NERRY	16-AUG-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
013-MDI	MALABON DIESEL INJECTION SERVICE	1GP Blk 16 Phase III E-1 Dagat-Dagatan, Brgy 12 Zone 1 District II, Caloocan City	288-6734 - Richie/ 287-4954 / 287-0485 ( 0922-890-3252 SUN )	287-5882 ( Local 808 )            ( 0920-903-2524 SMART )	service@malabon-diesel.com	ROBERTO C BERNARDO / RICHIE / ABET	TPJ	07-SEP-2007                                                                                                                                                                                                 
TIRE	TIRE ASIA GROUP, INC.	8277 Dr. A. Santos Ave., Sucat Paranaque City	820-8056/826-1260/820-6412	820-8054		AJI S. DIZON	RENE	04-OCT-2011                                                                                                                                                                                                                                                                                                                                                                                     
PA	PEST AWAY	30 St. Francis Avenue JPA Subdivision Muntinlupa City 1773	861-3403 / 04	862-2973	pestaway@gmail.com	EVELYN MEJIA	CONRAD	28-OCT-2011                                                                                                                                                                                                                                                                                                                                                                               
009-INTE	INTECO GROUP OF ISUZU DEALERSHIPS INDUSTRIAL & TRANSPORT	1669 Quezon Ave., Cor. Sgt. Esquerra, Quezon City	622-0065 / 920-8255 / Service- 415-8689 ( WILLY )	920-8255	russelbalajonda@yahoo.com	RUSSEL D. BALAJONDA (CEL. NO.0932-249-3578/0917-569-1558)	NERRY	17-NOV-2011                                                                                                                                                                                                                                            
003-CRR	COOL AIRCONDITIONING & REFRIGERATION IND INC	1816 Conception St., Makati City	8902590,	8902668,		GERRY /ARNIE- TIN#000-113-443-000 VAT	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                  
001-AEG	A. E. G. COMMERCIAL	Village Shopping Center, 201 Del Monte Avenue, Quezon City	365-3185 / 363-9492	367-9405		RUBY / ALLAN	CONRAD	14-JAN-2012                                                                                                                                                                                                                                                                                                                                                                            
018-ROB2	ROBINSONS DEPARTMENT STORE	Malabon Citysquare mall, Malabon City					NERRY	09-MAR-2012                                                                                                                                                                                                                                                                                                                                                                                                                                 
LG	LG BINAS ENTERPRISES	9010 Centenial Rd, near EPZA Diversion, Brgy.Magdalo, Kawit Cavite city	542-7588/359-2448/474-6478/468-4148		lgbinas_enterprises@yahoo.com	ROLY DE ANGEL-09157561846/09191573096/09162385289-SALLY	RENE	12-MAR-2012                                                                                                                                                                                                                                                                                     
SAG	SAGREX CORPORATION	Km.8 Coaco Road, Bo. Pampanga,8000 Davao City	(082) 234-0963, 235-1241	(082) 234-6678			NERRY	20-MAR-2012                                                                                                                                                                                                                                                                                                                                                                                                
001-AIR	AIRTAC ENTERPRISES PHILS. CO. LTD CORP.	51-71 Keppelson Commercial Bldg Inc Mcarthur Hi-way Marulas Valenzuela City	294-6938/294-6946	02-204-7416	sheryl.manares@servetrend.com	ROBERT DELAS ALAS	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                       
018-RDT	RD TUNA MADANG	PNG-Madang				ROLAND	NERRY	17-APR-2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SKY	SKY COMPUTER	Bangbang, Tondo, Maynila	254-0132	254-0132		CYNTIA	RENE	23-APR-2012                                                                                                                                                                                                                                                                                                                                                                                                                                            
002-BSC	BENEDICTO STEEL CORP	1143 pasong tamo st makati city	8970592	2419777		ISA - 09228330982/899-5533	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                        
007-GILM	PC GILMORE COMPUTER CENTER	VMall, Greenhills, San Juan	836-2558 (SM MOA),727-8988 (VMall),411-0786 (Platinum Gilmor	411-1368 (SM North)			NERRY	09-MAY-2012                                                                                                                                                                                                                                                                                                                                                            
003-CAST	CASH (TAIWAN)	Kaohsiung , Taiwan					NERRY	10-MAY-2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
003-CASHK	CASH (KINA)	WEWAK,PNG					NERRY	02-JUN-2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
014-NISS	NISSIN REFRIGERATION & ENGINEERING LTD.	7th FL Asahi Bldg., 38-3-5 Chome, Kamata, Ota-ku, Tokyo 144-0052 JAPAN	+81-3-5710-7061; HP +81-80-6133-3664	+81-3-5710-0261	onaka.kenji@nissin-ref.co.jp	KENJI ONAKA	NERRY	07-JUN-2012                                                                                                                                                                                                                                                                                         
007-GRA	GRAND HARVEST INDUSTRIAL CORP	Unit 206, 18 Gen. Capinpin St.,Brgy. San Antonio Ortigas Center, Pasig City 1605	6376563 to 65 (Lot 5 Blk.2 Sterling Ind'l.Park, Iba,Meycauya	633-7344       BDO- Acct. no. 66-000-2647	VAT TIN 003-865-341-000	ROOLLY/TEDDY CHAN/ANN/HELEN	TPJ	07-SEP-2007                                                                                                                                                                                                                               
DSM1	DARWIN S. MEDINA	Navotas Fishport				DARWIN	CONRAD	11-JUN-2012                                                                                                                                                                                                                                                                                                                                                                                                                                                             
013-MARM	MARINE MOTOR SERVICE GMBH	MohlensraBe 21  21279 Wenzendorf Germany	++49(0) 4165 2140 45; 842-7066 (alabang) Randolf Consing/Ric	++49 (0) 4165 2140 10, 807-9897,850-0553	uta.mueller@marine-motor-service.de www.marine-motor-service.de	RIC RAMOS/UTA MUELLER,RANDOLF(ENERGYCHEM INDUSTRY,INC.)	NERRY	04-JUL-2012                                                                                                                                                                                                     
004-DADI	DAVAO BASIC STEEL INDUTRIES, INC	General Santos Ctiy	522-6009/301-4442			AIMEE VILLA	SONIA	25-JUL-2012                                                                                                                                                                                                                                                                                                                                                                                                                 
003-CLEA	CLEAR WATER INT'L. SHIPYARD CORP.	Navotas Fishport Complex, Bulungan Street, Frabelle Cpd., Navotas City	466-3430	283-2066		FEBIE	NERRY	03-AUG-2012                                                                                                                                                                                                                                                                                                                                                                    
005-EVE	EL VETUS ENTERPRISES	90 panghulo obando bulacan	277-0710 / 775-6459 / 775-6459	292-1566		ELENITA B VETUS CEL.09193725685	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                
001-APP	ADVANCE POWER PRODUCT	1340 Filmore St Makati City				JERICO TRINIDAD	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                    
004-DIH	DINGS HARDWARE	estrella malabon	2812759/2812695	2811288		CARLOS MAURI	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                   
014-NET	NET ERCO PHILS INC	no 46 int danny floro st brgy bagong ilog pasig				ANNETTE VENTURA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                   
016-PTO	PT OCEAN MITRAMAS (INDONESIA)	biak/jalarta indonesia				C/O ARNELSON LAYREANO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                           
016-PGI	POWER GEAR INC	unit 19 iei business centre alabang zapote road almanza 1 las pinas city	7721696	7721597		ALLAN G LAPLANA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                
019-SRE	SUNRISE HARDWARE	#213 e rizal ave ext cor 6th ave caloocan city	3635147			CONRADA SARMIENTO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                             
